date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:04	70569/70569	---MCZ	200	added ('OK')	text/html	etag:W/%226058d0cb-113a9%22	https://html.miraclestudio.design/majesty/index02.html	C:/Users/batuhan.arik/Desktop/majesty/html.miraclestudio.design/majesty/index02.html	(from )
15:30:05	65/65	---M--	200	added ('OK')	text/plain	etag:%2260520994-41%22	https://html.miraclestudio.design/robots.txt		(from )
15:30:06	3127/3127	---M--	200	added ('OK')	image/png	etag:%226058d42b-c37%22	https://html.miraclestudio.design/majesty/img/favicon/apple-touch-icon-57x57.png	C:/Users/batuhan.arik/Desktop/majesty/html.miraclestudio.design/majesty/img/favicon/apple-touch-icon-57x57.png	(from https://html.miraclestudio.design/majesty/index02.html)
15:30:06	32038/32038	---M--	200	added ('OK')	image/x-icon	etag:%226058d42b-7d26%22	https://html.miraclestudio.design/majesty/img/favicon/favicon.ico	C:/Users/batuhan.arik/Desktop/majesty/html.miraclestudio.design/majesty/img/favicon/favicon.ico	(from https://html.miraclestudio.design/majesty/index02.html)
15:30:06	4549/4549	---M--	200	added ('OK')	image/png	etag:%226058d42b-11c5%22	https://html.miraclestudio.design/majesty/img/favicon/apple-touch-icon-114x114.png	C:/Users/batuhan.arik/Desktop/majesty/html.miraclestudio.design/majesty/img/favicon/apple-touch-icon-114x114.png	(from https://html.miraclestudio.design/majesty/index02.html)
15:30:07	3010/3010	---M--	200	added ('OK')	image/png	etag:%226058d42b-bc2%22	https://html.miraclestudio.design/majesty/img/favicon/apple-touch-icon-72x72.png	C:/Users/batuhan.arik/Desktop/majesty/html.miraclestudio.design/majesty/img/favicon/apple-touch-icon-72x72.png	(from https://html.miraclestudio.design/majesty/index02.html)
15:30:07	5682/5682	---M--	200	added ('OK')	image/png	etag:%226058d42b-1632%22	https://html.miraclestudio.design/majesty/img/favicon/apple-touch-icon-144x144.png	C:/Users/batuhan.arik/Desktop/majesty/html.miraclestudio.design/majesty/img/favicon/apple-touch-icon-144x144.png	(from https://html.miraclestudio.design/majesty/index02.html)
15:30:07	1558/1558	---M--	200	added ('OK')	text/css	etag:%226058d4ee-616%22	https://html.miraclestudio.design/majesty/stylesheets/owl.carousel.css	C:/Users/batuhan.arik/Desktop/majesty/html.miraclestudio.design/majesty/stylesheets/owl.carousel.css	(from https://html.miraclestudio.design/majesty/index02.html)
15:30:08	1743/1743	---M--	200	added ('OK')	text/css	etag:%226058d4ef-6cf%22	https://html.miraclestudio.design/majesty/stylesheets/owl.theme.css	C:/Users/batuhan.arik/Desktop/majesty/html.miraclestudio.design/majesty/stylesheets/owl.theme.css	(from https://html.miraclestudio.design/majesty/index02.html)
15:30:08	117309/117309	---M--	200	added ('OK')	text/css	etag:%226058d0df-1ca3d%22	https://html.miraclestudio.design/majesty/bootstrap/css/bootstrap.min.css	C:/Users/batuhan.arik/Desktop/majesty/html.miraclestudio.design/majesty/bootstrap/css/bootstrap.min.css	(from https://html.miraclestudio.design/majesty/index02.html)
15:30:08	15369/15369	---M--	200	added ('OK')	text/css	etag:%226058d4ed-3c09%22	https://html.miraclestudio.design/majesty/stylesheets/jquery.datetimepicker.css	C:/Users/batuhan.arik/Desktop/majesty/html.miraclestudio.design/majesty/stylesheets/jquery.datetimepicker.css	(from https://html.miraclestudio.design/majesty/index02.html)
15:30:08	11061/11061	---M--	200	added ('OK')	text/css	etag:%226058d4ef-2b35%22	https://html.miraclestudio.design/majesty/stylesheets/prettyPhoto.css	C:/Users/batuhan.arik/Desktop/majesty/html.miraclestudio.design/majesty/stylesheets/prettyPhoto.css	(from https://html.miraclestudio.design/majesty/index02.html)
15:30:08	71976/71976	---M--	200	added ('OK')	text/css	etag:%226058d4ec-11928%22	https://html.miraclestudio.design/majesty/stylesheets/animate.css	C:/Users/batuhan.arik/Desktop/majesty/html.miraclestudio.design/majesty/stylesheets/animate.css	(from https://html.miraclestudio.design/majesty/index02.html)
15:30:09	23808/23808	---M--	200	added ('OK')	text/css	etag:%226058d4ec-5d00%22	https://html.miraclestudio.design/majesty/stylesheets/font-awesome.min.css	C:/Users/batuhan.arik/Desktop/majesty/html.miraclestudio.design/majesty/stylesheets/font-awesome.min.css	(from https://html.miraclestudio.design/majesty/index02.html)
